amostra,valor_risco_fadiga,pertinencia_agregada
1,0,0.5753424657534246
1,1,0.5753424657534246
1,2,0.5753424657534246
1,3,0.5753424657534246
1,4,0.5753424657534246
1,5,0.5753424657534246
1,6,0.5753424657534246
1,7,0.5753424657534246
1,8,0.5753424657534246
1,9,0.5753424657534246
1,10,0.5753424657534246
1,11,0.5407725321888411
1,12,0.502994011976048
1,13,0.4615384615384616
1,14,0.41584158415841577
1,15,0.36521739130434777
1,16,0.30882352941176466
1,17,0.24561403508771928
1,18,0.17427385892116182
1,19,0.09312638580931265
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,0.0
1,32,0.0
1,33,0.0
1,34,0.0
1,35,0.0
1,36,0.0
1,37,0.0
1,38,0.0
1,39,0.0
1,40,0.0
1,41,0.0
1,42,0.0
1,43,0.0
1,44,0.0
1,45,0.0
1,46,0.0
1,47,0.0
1,48,0.0
1,49,0.0
1,50,0.0
1,51,0.0
1,52,0.0
1,53,0.0
1,54,0.0
1,55,0.0
1,56,0.0
1,57,0.0
1,58,0.0
1,59,0.0
1,60,0.0
1,61,0.0
1,62,0.0
1,63,0.0
1,64,0.0
1,65,0.0
1,66,0.0
1,67,0.0
1,68,0.0
1,69,0.0
1,70,0.0
1,71,0.0
1,72,0.0
1,73,0.0
1,74,0.0
1,75,0.0
1,76,0.0
1,77,0.0
1,78,0.0
1,79,0.0
1,80,0.0
1,81,0.0
1,82,0.0
1,83,0.0
1,84,0.0
1,85,0.0
1,86,0.0
1,87,0.0
1,88,0.0
1,89,0.0
1,90,0.0
1,91,0.0
1,92,0.0
1,93,0.0
1,94,0.0
1,95,0.0
1,96,0.0
1,97,0.0
1,98,0.0
1,99,0.0
1,100,0.0
2,0,0.06666666666666671
2,1,0.06666666666666671
2,2,0.06666666666666671
2,3,0.06666666666666671
2,4,0.06666666666666671
2,5,0.06666666666666671
2,6,0.06666666666666671
2,7,0.06666666666666671
2,8,0.06666666666666671
2,9,0.06666666666666671
2,10,0.06666666666666671
2,11,0.06617647058823534
2,12,0.06557377049180332
2,13,0.06481481481481485
2,14,0.06382978723404259
2,15,0.06250000000000004
2,16,0.09506903353057203
2,17,0.1067256637168142
2,18,0.11011235955056185
2,19,0.1055555555555556
2,20,0.07317073170731712
2,21,0.07594936708860765
2,22,0.07806691449814133
2,23,0.07973421926910304
2,24,0.08108108108108115
2,25,0.08219178082191787
2,26,0.08312342569269529
2,27,0.08391608391608399
2,28,0.08459869848156189
2,29,0.08519269776876275
2,30,0.08571428571428578
2,31,0.08519269776876275
2,32,0.08459869848156189
2,33,0.08391608391608399
2,34,0.08312342569269529
2,35,0.08219178082191787
2,36,0.08108108108108115
2,37,0.07973421926910304
2,38,0.07806691449814133
2,39,0.07594936708860765
2,40,0.07317073170731712
2,41,0.06936416184971102
