amostra,valor_velocidade_vento,conjunto_velocidade_vento,pertinencia_velocidade_vento,valor_umidade_relativa,conjunto_umidade_relativa,pertinencia_umidade_relativa,valor_vibracao_torre,conjunto_vibracao_torre,pertinencia_vibracao_torre
0,5.2,baixa,0.9333333333333332,18.0,muito_baixa,0.6,0.8,baixa,1.0
0,5.2,baixa,0.9333333333333332,18.0,muito_baixa,0.6,0.8,media,0.0
0,5.2,baixa,0.9333333333333332,18.0,muito_baixa,0.6,0.8,media_alta,0.0
0,5.2,baixa,0.9333333333333332,18.0,muito_baixa,0.6,0.8,alta,0.0
0,5.2,baixa,0.9333333333333332,18.0,muito_baixa,0.6,0.8,altissimo,0.0
0,5.2,baixa,0.9333333333333332,18.0,baixa,0.0,0.8,baixa,1.0
0,5.2,baixa,0.9333333333333332,18.0,baixa,0.0,0.8,media,0.0
0,5.2,baixa,0.9333333333333332,18.0,baixa,0.0,0.8,media_alta,0.0
0,5.2,baixa,0.9333333333333332,18.0,baixa,0.0,0.8,alta,0.0
0,5.2,baixa,0.9333333333333332,18.0,baixa,0.0,0.8,altissimo,0.0
0,5.2,baixa,0.9333333333333332,18.0,moderada,0.0,0.8,baixa,1.0
0,5.2,baixa,0.9333333333333332,18.0,moderada,0.0,0.8,media,0.0
0,5.2,baixa,0.9333333333333332,18.0,moderada,0.0,0.8,media_alta,0.0
0,5.2,baixa,0.9333333333333332,18.0,moderada,0.0,0.8,alta,0.0
0,5.2,baixa,0.9333333333333332,18.0,moderada,0.0,0.8,altissimo,0.0
0,5.2,baixa,0.9333333333333332,18.0,alta,0.0,0.8,baixa,1.0
0,5.2,baixa,0.9333333333333332,18.0,alta,0.0,0.8,media,0.0
0,5.2,baixa,0.9333333333333332,18.0,alta,0.0,0.8,media_alta,0.0
0,5.2,baixa,0.9333333333333332,18.0,alta,0.0,0.8,alta,0.0
0,5.2,baixa,0.9333333333333332,18.0,alta,0.0,0.8,altissimo,0.0
0,5.2,baixa,0.9333333333333332,18.0,altissima,0.0,0.8,baixa,1.0
0,5.2,baixa,0.9333333333333332,18.0,altissima,0.0,0.8,media,0.0
0,5.2,baixa,0.9333333333333332,18.0,altissima,0.0,0.8,media_alta,0.0
0,5.2,baixa,0.9333333333333332,18.0,altissima,0.0,0.8,alta,0.0
0,5.2,baixa,0.9333333333333332,18.0,altissima,0.0,0.8,altissimo,0.0
0,5.2,media,0.0,18.0,muito_baixa,0.6,0.8,baixa,1.0
0,5.2,media,0.0,18.0,muito_baixa,0.6,0.8,media,0.0
0,5.2,media,0.0,18.0,muito_baixa,0.6,0.8,media_alta,0.0
0,5.2,media,0.0,18.0,muito_baixa,0.6,0.8,alta,0.0
0,5.2,media,0.0,18.0,muito_baixa,0.6,0.8,altissimo,0.0
0,5.2,media,0.0,18.0,baixa,0.0,0.8,baixa,1.0
0,5.2,media,0.0,18.0,baixa,0.0,0.8,media,0.0
0,5.2,media,0.0,18.0,baixa,0.0,0.8,media_alta,0.0
0,5.2,media,0.0,18.0,baixa,0.0,0.8,alta,0.0
0,5.2,media,0.0,18.0,baixa,0.0,0.8,altissimo,0.0
0,5.2,media,0.0,18.0,moderada,0.0,0.8,baixa,1.0
0,5.2,media,0.0,18.0,moderada,0.0,0.8,media,0.0
0,5.2,media,0.0,18.0,moderada,0.0,0.8,media_alta,0.0
0,5.2,media,0.0,18.0,moderada,0.0,0.8,alta,0.0
0,5.2,media,0.0,18.0,moderada,0.0,0.8,altissimo,0.0
0,5.2,media,0.0,18.0,alta,0.0,0.8,baixa,1.0
0,5.2,media,0.0,18.0,alta,0.0,0.8,media,0.0
0,5.2,media,0.0,18.0,alta,0.0,0.8,media_alta,0.0
0,5.2,media,0.0,18.0,alta,0.0,0.8,alta,0.0
0,5.2,media,0.0,18.0,alta,0.0,0.8,altissimo,0.0
0,5.2,media,0.0,18.0,altissima,0.0,0.8,baixa,1.0
0,5.2,media,0.0,18.0,altissima,0.0,0.8,media,0.0
0,5.2,media,0.0,18.0,altissima,0.0,0.8,media_alta,0.0
0,5.2,media,0.0,18.0,altissima,0.0,0.8,alta,0.0
0,5.2,media,0.0,18.0,altissima,0.0,0.8,altissimo,0.0
0,5.2,media_alta,0.0,18.0,muito_baixa,0.6,0.8,baixa,1.0
0,5.2,media_alta,0.0,18.0,muito_baixa,0.6,0.8,media,0.0
0,5.2,media_alta,0.0,18.0,muito_baixa,0.6,0.8,media_alta,0.0
0,5.2,media_alta,0.0,18.0,muito_baixa,0.6,0.8,alta,0.0
0,5.2,media_alta,0.0,18.0,muito_baixa,0.6,0.8,altissimo,0.0
0,5.2,media_alta,0.0,18.0,baixa,0.0,0.8,baixa,1.0
0,5.2,media_alta,0.0,18.0,baixa,0.0,0.8,media,0.0
0,5.2,media_alta,0.0,18.0,baixa,0.0,0.8,media_alta,0.0
0,5.2,media_alta,0.0,18.0,baixa,0.0,0.8,alta,0.0
0,5.2,media_alta,0.0,18.0,baixa,0.0,0.8,altissimo,0.0
0,5.2,media_alta,0.0,18.0,moderada,0.0,0.8,baixa,1.0
0,5.2,media_alta,0.0,18.0,moderada,0.0,0.8,media,0.0
0,5.2,media_alta,0.0,18.0,moderada,0.0,0.8,media_alta,0.0
0,5.2,media_alta,0.0,18.0,moderada,0.0,0.8,alta,0.0
0,5.2,media_alta,0.0,18.0,moderada,0.0,0.8,altissimo,0.0
0,5.2,media_alta,0.0,18.0,alta,0.0,0.8,baixa,1.0
0,5.2,media_alta,0.0,18.0,alta,0.0,0.8,media,0.0
0,5.2,media_alta,0.0,18.0,alta,0.0,0.8,media_alta,0.0
0,5.2,media_alta,0.0,18.0,alta,0.0,0.8,alta,0.0
0,5.2,media_alta,0.0,18.0,alta,0.0,0.8,altissimo,0.0
0,5.2,media_alta,0.0,18.0,altissima,0.0,0.8,baixa,1.0
0,5.2,media_alta,0.0,18.0,altissima,0.0,0.8,media,0.0
0,5.2,media_alta,0.0,18.0,altissima,0.0,0.8,media_alta,0.0
0,5.2,media_alta,0.0,18.0,altissima,0.0,0.8,alta,0.0
0,5.2,media_alta,0.0,18.0,altissima,0.0,0.8,altissimo,0.0
0,5.2,alta,0.0,18.0,muito_baixa,0.6,0.8,baixa,1.0
0,5.2,alta,0.0,18.0,muito_baixa,0.6,0.8,media,0.0
0,5.2,alta,0.0,18.0,muito_baixa,0.6,0.8,media_alta,0.0
0,5.2,alta,0.0,18.0,muito_baixa,0.6,0.8,alta,0.0
0,5.2,alta,0.0,18.0,muito_baixa,0.6,0.8,altissimo,0.0
0,5.2,alta,0.0,18.0,baixa,0.0,0.8,baixa,1.0
0,5.2,alta,0.0,18.0,baixa,0.0,0.8,media,0.0
0,5.2,alta,0.0,18.0,baixa,0.0,0.8,media_alta,0.0
0,5.2,alta,0.0,18.0,baixa,0.0,0.8,alta,0.0
0,5.2,alta,0.0,18.0,baixa,0.0,0.8,altissimo,0.0
0,5.2,alta,0.0,18.0,moderada,0.0,0.8,baixa,1.0
0,5.2,alta,0.0,18.0,moderada,0.0,0.8,media,0.0
0,5.2,alta,0.0,18.0,moderada,0.0,0.8,media_alta,0.0
0,5.2,alta,0.0,18.0,moderada,0.0,0.8,alta,0.0
0,5.2,alta,0.0,18.0,moderada,0.0,0.8,altissimo,0.0
0,5.2,alta,0.0,18.0,alta,0.0,0.8,baixa,1.0
0,5.2,alta,0.0,18.0,alta,0.0,0.8,media,0.0
0,5.2,alta,0.0,18.0,alta,0.0,0.8,media_alta,0.0
0,5.2,alta,0.0,18.0,alta,0.0,0.8,alta,0.0
0,5.2,alta,0.0,18.0,alta,0.0,0.8,altissimo,0.0
0,5.2,alta,0.0,18.0,altissima,0.0,0.8,baixa,1.0
0,5.2,alta,0.0,18.0,altissima,0.0,0.8,media,0.0
0,5.2,alta,0.0,18.0,altissima,0.0,0.8,media_alta,0.0
0,5.2,alta,0.0,18.0,altissima,0.0,0.8,alta,0.0
0,5.2,alta,0.0,18.0,altissima,0.0,0.8,altissimo,0.0
0,5.2,altissimo,0.0,18.0,muito_baixa,0.6,0.8,baixa,1.0
0,5.2,altissimo,0.0,18.0,muito_baixa,0.6,0.8,media,0.0
0,5.2,altissimo,0.0,18.0,muito_baixa,0.6,0.8,media_alta,0.0
0,5.2,altissimo,0.0,18.0,muito_baixa,0.6,0.8,alta,0.0
0,5.2,altissimo,0.0,18.0,muito_baixa,0.6,0.8,altissimo,0.0
0,5.2,altissimo,0.0,18.0,baixa,0.0,0.8,baixa,1.0
