id,image_id,category_id,segmentation,area,bbox,iscrowd,attributes,subset,set_type
1,676,26,"[[278.0, 291.75, 286.75, 299.25, 289.5, 296.25, 291.75, 293.25, 294.0, 290.25, 296.5, 287.5, 298.75, 284.25, 300.75, 281.25, 303.0, 278.25, 305.0, 275.0, 307.0, 271.75, 309.0, 269.0, 311.25, 265.75, 317.0, 256.0, 320.75, 248.5, 311.25, 245.12, 306.75, 251.38, 304.75, 254.62, 302.75, 257.25, 300.25, 260.25, 298.25, 263.25, 296.0, 266.25, 294.0, 269.5, 292.0, 272.0, 289.5, 275.5, 287.25, 278.5, 285.25, 281.5, 282.75, 285.0, 280.5, 287.75]]",708.0,"[278.0, 245.12, 42.75, 54.13]",0,{'occluded': False},train,stenosis
2,960,26,"[[294.75, 315.0, 293.0, 322.0, 298.5, 322.5, 302.75, 322.5, 307.75, 323.25, 311.75, 323.75, 316.25, 324.75, 320.5, 325.5, 325.0, 326.25, 329.25, 327.5, 333.25, 329.0, 337.5, 330.5, 341.75, 332.0, 345.75, 333.75, 350.5, 335.0, 354.5, 336.25, 359.5, 338.25, 361.0, 331.5, 357.75, 330.5, 355.0, 329.75, 348.75, 327.25, 344.25, 326.0, 339.75, 324.25, 332.0, 321.75, 326.25, 320.0, 318.75, 318.0, 305.5, 316.75, 300.0, 315.75]]",457.0,"[293.0, 315.0, 68.0, 23.25]",0,{'occluded': False},train,stenosis
3,960,26,"[[102.0, 172.25, 109.31, 179.25, 113.0, 175.75, 116.0, 173.75, 119.0, 171.75, 122.31, 170.5, 125.5, 169.5, 129.12, 168.38, 132.62, 167.5, 136.25, 165.88, 128.75, 157.38, 125.44, 158.75, 122.06, 160.25, 118.44, 161.88, 114.88, 162.75, 111.5, 164.25, 107.38, 166.5]]",317.0,"[102.0, 157.38, 34.25, 21.87]",0,{'occluded': False},train,stenosis
4,960,26,"[[87.69, 192.62, 96.69, 198.75, 95.81, 203.0, 95.31, 206.62, 94.81, 210.38, 94.62, 214.12, 94.38, 217.75, 94.38, 221.62, 94.69, 225.38, 94.88, 229.25, 94.88, 232.88, 86.0, 236.25, 85.5, 232.0, 85.38, 227.88, 85.0, 224.12, 84.69, 220.12, 84.38, 216.25, 84.5, 211.75, 84.88, 208.75, 85.0, 205.25, 86.0, 197.12]]",388.0,"[84.38, 192.62, 12.31, 43.63]",0,{'occluded': False},train,stenosis
5,99,26,"[[326.0, 232.62, 330.25, 231.38, 335.0, 239.75, 339.0, 247.38, 348.5, 240.88, 338.0, 228.38, 327.25, 221.25, 323.0, 230.25]]",255.0,"[323.0, 221.25, 25.5, 26.13]",0,{'occluded': False},train,stenosis
6,672,26,"[[176.25, 379.0, 169.38, 384.5, 164.75, 390.0, 160.12, 396.75, 157.88, 404.25, 159.88, 412.25, 165.38, 419.25, 172.25, 426.25, 184.5, 433.5, 192.75, 438.0, 204.12, 442.25, 207.25, 432.25, 200.88, 430.75, 195.0, 428.75, 189.62, 426.5, 180.12, 421.0, 172.88, 416.0, 168.12, 409.25, 168.0, 403.0, 170.0, 396.75, 174.38, 391.75]]",706.0,"[157.88, 379.0, 49.37, 63.25]",0,{'occluded': False},train,stenosis
7,672,26,"[[353.75, 277.75, 363.75, 275.5, 373.0, 274.75, 380.25, 275.5, 384.0, 278.0, 387.5, 282.75, 391.25, 287.75, 394.25, 291.25, 401.25, 297.0, 397.5, 305.0, 393.0, 300.0, 388.5, 295.5, 384.0, 290.25, 381.5, 286.5, 379.0, 283.75, 376.0, 282.5, 368.75, 282.0, 363.25, 284.0, 358.75, 287.5]]",404.0,"[353.75, 274.75, 47.5, 30.25]",0,{'occluded': False},train,stenosis
8,7,26,"[[227.25, 53.03, 225.12, 39.62, 232.62, 38.38, 238.25, 37.97, 246.25, 38.25, 251.75, 39.38, 258.75, 42.0, 264.0, 44.12, 269.0, 47.16, 275.0, 50.62, 282.5, 54.53, 288.5, 58.16, 293.0, 61.66, 298.75, 65.81, 293.0, 73.0, 288.0, 70.19, 281.75, 67.38, 277.5, 64.69, 271.0, 60.25, 266.25, 57.34, 261.25, 53.84, 255.12, 50.91, 250.5, 49.81, 243.62, 48.41, 238.75, 48.41, 233.88, 49.94]]",810.0,"[225.12, 37.97, 73.63, 35.03]",0,{'occluded': False},train,stenosis
9,833,26,"[[212.75, 118.69, 216.25, 122.25, 221.62, 113.31, 231.75, 112.75, 231.75, 121.06, 224.62, 122.81, 210.88, 131.12]]",185.0,"[210.88, 112.75, 20.87, 18.37]",0,{'occluded': False},train,stenosis
10,628,26,"[[278.0, 182.12, 294.0, 179.25, 311.75, 175.0, 313.5, 183.38, 297.5, 186.75, 281.25, 190.38]]",284.0,"[278.0, 175.0, 35.5, 15.38]",0,{'occluded': False},train,stenosis
11,546,26,"[[168.38, 104.56, 170.75, 115.0, 166.62, 115.81, 163.25, 118.5, 160.0, 121.62, 157.0, 125.19, 154.0, 128.25, 150.75, 131.75, 147.62, 135.12, 144.75, 138.0, 141.38, 141.0, 138.38, 143.88, 135.5, 147.38, 132.25, 150.25, 130.12, 153.62, 128.38, 157.0, 126.31, 161.25, 124.5, 165.25, 123.19, 169.38, 121.69, 173.62, 121.19, 178.0, 120.88, 182.38, 120.88, 187.0, 121.0, 191.25, 123.31, 195.25, 125.38, 199.25, 125.94, 203.62, 126.25, 208.0, 125.94, 212.25, 127.31, 216.5, 128.75, 220.5, 130.5, 224.5, 122.75, 231.38, 121.0, 227.38, 119.31, 223.25, 118.69, 219.0, 117.0, 213.5, 116.38, 209.12, 116.88, 205.75, 117.0, 202.5, 116.62, 199.25, 115.0, 196.38, 113.31, 192.62, 112.38, 187.12, 112.12, 181.25, 112.69, 176.5, 113.81, 172.75, 115.12, 168.88, 116.31, 164.25, 117.81, 159.75, 119.88, 155.25, 121.88, 151.5, 124.5, 147.62, 126.69, 143.75, 130.0, 140.0, 133.5, 136.5, 136.75, 133.62, 139.12, 130.75, 142.25, 127.69, 145.75, 124.69, 148.75, 122.0, 151.75, 118.38, 154.75, 115.56, 157.75, 112.0, 160.88, 109.12, 164.88, 106.31]]",1211.0,"[112.12, 104.56, 58.63, 126.82]",0,{'occluded': False},train,stenosis
12,532,26,"[[231.12, 126.88, 245.5, 121.75, 248.5, 141.0, 259.5, 153.38, 266.5, 167.88, 265.5, 196.75, 254.38, 225.5, 240.5, 222.62, 247.38, 209.88, 253.25, 190.75, 253.75, 172.75, 247.25, 157.25, 238.12, 149.12]]",1410.0,"[231.12, 121.75, 35.38, 103.75]",0,{'occluded': False},train,stenosis
