# SpekpyWeb (Spekpy ver. 2.0.8)
# -----------------------
# Physics: spekcalc
# Attenuation data: nist
# Energy bin (keV): 1
# Target material: W
# Anode angle (°): 12
# kV: 120
# x (cm): 0
# y (cm): 0
# z (cm): 50
# mAs: 1
# Bremsstrahlung: true
# Char. x-ray: true

# Filtration: 0.2 mm Cu + 1 mm Al

# Mid-bin energy (keV)	Fluence (cm⁻² keV⁻¹)
1.5	0
2.5	8.743011834205945e-236
3.5	7.3593602505074615e-93
4.5	2.0090534572386607e-43
5.5	6.342835980588343e-22
6.5	4.3611033508535855e-11
7.5	0.00005028870104315456
8.5	0.22819431899858247
9.5	1.9452305164614632e-15
10.5	1.0949063698121743e-10
11.5	7.541842578555942e-7
12.5	0.00027746452275432973
13.5	0.033461413937925184
14.5	1.295566263616124
15.5	23.382911455513824
16.5	232.23488948639834
17.5	1450.4733768425501
18.5	6261.63496551747
19.5	20973.086133549317
20.5	57098.727781236325
21.5	132827.4595924806
22.5	266730.8334304479
23.5	479299.67298507533
24.5	776965.0583878403
25.5	1183520.6475937287
26.5	1694585.017068243
27.5	2316345.069320679
28.5	3012325.170791341
29.5	3776943.827752333
30.5	4539419.678786622
31.5	5362816.406804575
32.5	6195622.805526331
33.5	7051394.513903933
34.5	7850196.399806622
35.5	8615762.023727203
36.5	9251824.669955026
37.5	9915989.923827076
38.5	10526282.315340573
39.5	11123323.713490155
40.5	11598022.365380058
41.5	12003390.67366295
42.5	12243569.39741585
43.5	12538129.665958233
44.5	12784776.488309642
45.5	13033332.209223824
46.5	13181959.556096593
47.5	13290626.547778374
48.5	13244563.316749735
49.5	13280430.913036905
50.5	13278022.639446922
51.5	13289051.600427303
52.5	13215889.665943839
53.5	13124103.607431136
54.5	12902667.637189416
55.5	12778314.10761516
56.5	12638940.001794416
57.5	39962009.55863474
58.5	12367457.01942986
59.5	61283492.36254853
60.5	11889259.858251669
61.5	11660230.199927846
62.5	11480007.457705297
63.5	11314801.7426993
64.5	11093256.32429762
65.5	10876964.5879069
66.5	16279684.825435909
67.5	21796859.664150767
68.5	10113793.459118908
69.5	14867575.2999413
70.5	8345904.590183623
71.5	8208003.201463206
72.5	7970806.119579008
73.5	7828100.069140793
74.5	7684372.045296281
75.5	7574612.449633931
76.5	7420111.347929527
77.5	7266747.057860305
78.5	7024375.343239886
79.5	6872646.065377201
80.5	6715165.484686852
81.5	6590021.182463434
82.5	6427217.146714502
83.5	6261277.546288085
84.5	6019650.159232295
85.5	5861542.857419551
86.5	5705459.474339535
87.5	5578254.602198013
88.5	5415958.528616998
89.5	5264139.2665128205
90.5	5033668.332119284
91.5	4881586.672296136
92.5	4732376.63665091
93.5	4605312.675406606
94.5	4451959.0411301665
95.5	4301970.116690453
96.5	4082002.4301067027
97.5	3937759.7359211105
98.5	3789753.3365214877
99.5	3662456.5027200817
100.5	3511074.237553209
101.5	3362506.043258651
102.5	3154050.3734035203
103.5	3009818.072480077
104.5	2869362.4155424116
105.5	2739475.76602715
106.5	2594224.234989623
107.5	2455792.0379390647
108.5	2248297.721871147
109.5	2107904.0909189936
110.5	1963143.2198731771
111.5	1829216.2087118393
112.5	1678714.9910166007
113.5	1540011.0972676072
114.5	1299622.4023901897
115.5	1151403.2899702813
116.5	1046312.3757159769
117.5	912330.4539309357
118.5	592412.655638574
119.5	251880.5844938644
